6731,Harry Potter - La camera dei segreti,1;J.K.;Rowling,24;Mondadori,12.99,ADVENTURE|FANTASY
6732,Harry Potter - La pietra filosofale,1;J.K.;Rowling,24;Mondadori,12.99,ADVENTURE|FANTASY
6733,Harry Potter - Il prigioniero di Azkaban,1;J.K.;Rowling,24;Mondadori,12.99,ADVENTURE|FANTASY
6734,Harry Potter - Il calice di fuoco,1;J.K.;Rowling,24;Mondadori,12.99,ADVENTURE|FANTASY
6735,Harry Potter - L'ordine della fenice,1;J.K.;Rowling,24;Mondadori,12.99,ADVENTURE|FANTASY
6736,Harry Potter - Il principe mezzosangue,1;J.K.;Rowling,24;Mondadori,12.99,ADVENTURE|FANTASY
6737,Harry Potter - I doni della morte,1;J.K.;Rowling,24;Mondadori,12.99,ADVENTURE|FANTASY
1211,Dieci Piccoli Indiani,2;Agatha;Christie,120;DeAgostini,9.99,OTHER
1212,Assassinio sull'Orient Express,2;Agatha;Christie,120;DeAgostini,11.99,OTHER
2300,I Promessi Sposi,3;Alessandro;Manzoni,24;Mondadori,7.99,HISTORICAL|OTHER
